code,system
G30..12,readv2
G30..16,readv2
G311500,readv2
411.1,readv2
G301z00,readv2
G306.00,readv2
G35..00,readv2
G30z.00,readv2
G35X.00,readv2
G351.00,readv2
G350.00,readv2
G38..00,readv2
Gyu3400,readv2
G353.00,readv2
G304.00,readv2
G384.00,readv2
G38z.00,readv2
G380.00,readv2
G30..17,readv2
323..00,readv2
Gyu3600,readv2
G30..15,readv2
G30yz00,readv2
G30..00,readv2
G308.00,readv2
G301.00,readv2
G30X.00,readv2
G381.00,readv2
G30B.00,readv2
G30y.00,readv2
410.21,readv2
410.9,readv2
410.91,readv2
410.92,readv2
410.82,readv2
410.42,readv2
410.11,readv2
410.01,readv2
410.1,readv2
410.02,readv2
410,readv2
410.3,readv2
410.31,readv2
410.41,readv2
410.81,readv2
410.22,readv2
410.2,readv2
410.8,readv2
410.4,readv2
410.32,readv2
410.12,readv2
I22.0,readv2
I21.2,readv2
I22.9,readv2
I22,readv2
I21,readv2
I21.1,readv2
I23.8,readv2
I23,readv2
I22.8,readv2
I23.0,readv2
I21.9,readv2
I21.4,readv2
I21.0,readv2
I22.1,readv2
I21.3,readv2
G614.00,readv2
Gyu6100,readv2
G620.00,readv2
G61..12,readv2
G61X.00,readv2
G615.00,readv2
G61X100,readv2
G61X000,readv2
G605.00,readv2
G613.00,readv2
G603.00,readv2
Gyu6200,readv2
G606.00,readv2
G621.00,readv2
G61..11,readv2
G62z.00,readv2
G604.00,readv2
G61z.00,readv2
G61..00,readv2
G62..00,readv2
Gyu6F00,readv2
G60z.00,readv2
G60..00,readv2
432.9,readv2
431,readv2
430,readv2
I61.2,readv2
I62.9,readv2
I60.7,readv2
I61.9,readv2
I61,readv2
I61.8,readv2
I60.4,readv2
I60.6,readv2
I60.3,readv2
I60.5,readv2
I64,readv2
I60.9,readv2
I62,readv2
I60.8,readv2
I60,readv2
I60.2,readv2
I61.4,readv2
G66..11,readv2
G60X.00,readv2
G575z00,readv2
G66..12,readv2
410.6,readv2
410.7,readv2
G66..13,readv2
G641000,readv2
G64..12,readv2
G641.00,readv2
G64z.12,readv2
G664.00,readv2
G64z300,readv2
G64z200,readv2
G640000,readv2
G641.11,readv2
G671000,readv2
G66..00,readv2
G662.00,readv2
G64z.00,readv2
G661.00,readv2
Gyu6400,readv2
G640.00,readv2
434,readv2
434.11,readv2
434.01,readv2
434.1,readv2
I63.3,readv2
I63.4,readv2
I63.9,readv2
I63,readv2
I63.8,readv2
G575000,readv2
G574011,readv2
G575.11,readv2
G575.00,readv2
G302.00,readv2
G311.13,readv2
G311100,readv2
I20.0,readv2
G30..13,readv2
G363.00,readv2
G365.00,readv2
G600.00,readv2
I23.5,readv2
I23.3,readv2
G612.00,readv2
G64z400,readv2
G602.00,readv2
I60.1,readv2
G616.00,readv2
G611.00,readv2
G360.00,readv2
323Z.00,readv2
G309.00,readv2
G617.00,readv2
G362.00,readv2
I23.2,readv2
I61.5,readv2
G63..00,readv2
G63y000,readv2
G63y100,readv2
G63..11,readv2
433.81,readv2
433.9,readv2
433.8,readv2
433.91,readv2
I63.0,readv2
I63.1,readv2
I63.2,readv2
G575100,readv2
G618.00,readv2
I61.6,readv2
G307000,readv2
G301000,readv2
G303.00,readv2
410.62,readv2
410.61,readv2
G305.00,readv2
G64z111,readv2
410.52,readv2
410.5,readv2
433.31,readv2
433.3,readv2
410.51,readv2
G665.00,readv2
G666.00,readv2
G364.00,readv2
I23.4,readv2
Gyu6G00,readv2
Gyu6300,readv2
G6X..00,readv2
G6W..00,readv2
G307100,readv2
G30X000,readv2
G676000,readv2
I63.6,readv2
G671.00,readv2
G671z00,readv2
G64z.11,readv2
G64z000,readv2
G663.00,readv2
I61.3,readv2
G601.00,readv2
I60.0,readv2
G64..13,readv2
G632.00,readv2
434.91,readv2
434.9,readv2
G301100,readv2
G30y200,readv2
G300.00,readv2
G610.00,readv2
I61.1,readv2
I61.0,readv2
G668.00,readv2
G311000,readv2
G311011,readv2
G575.12,readv2
G307.00,readv2
410.71,readv2
410.72,readv2
G30y100,readv2
G667.00,readv2
433.01,readv2
433.21,readv2
433.11,readv2
433.1,readv2
433,readv2
433.2,readv2
I63.5,readv2
411.89,readv2
I24.9,readv2
I23.1,readv2
I23.6,readv2